Timestamp,PodStatus,Energy_Drift,Coherence,ESV_Valid_Ratio,Lineage_Epsilon,Quarantine_Events,Governor_Delta,Shard_Count,Replay_Variance,Status
2025-11-17 05:55:35,True,0.0,1.0,1.0,0.0,10,0.0,0,0.0,DEGRADED
2025-11-17 05:55:41,True,0.0,1.0,1.0,0.0,10,0.0,0,0.0,DEGRADED
2025-11-17 05:55:47,True,0.0,1.0,1.0,0.0,10,0.0,0,0.0,DEGRADED
2025-11-17 05:55:53,True,0.0,1.0,1.0,0.0,10,0.0,0,0.0,DEGRADED
2025-11-17 05:55:59,True,0.0,1.0,1.0,0.0,10,0.0,0,0.0,DEGRADED
2025-11-17 05:56:06,True,0.0,1.0,1.0,0.0,10,0.0,0,0.0,DEGRADED
2025-11-17 05:56:12,True,0.0,1.0,1.0,0.0,9,0.0,0,0.0,DEGRADED
2025-11-17 05:56:18,True,0.0,1.0,1.0,0.0,9,0.0,0,0.0,DEGRADED
2025-11-17 05:56:24,True,0.0,1.0,1.0,0.0,9,0.0,0,0.0,DEGRADED
2025-11-17 05:56:30,True,0.0,1.0,1.0,0.0,9,0.0,0,0.0,DEGRADED
2025-11-17 05:56:37,True,0.0,1.0,1.0,0.0,9,0.0,0,0.0,DEGRADED
2025-11-17 05:56:43,True,0.0,1.0,1.0,0.0,9,0.0,0,0.0,DEGRADED
2025-11-17 05:56:49,True,0.0,1.0,1.0,0.0,9,0.0,0,0.0,DEGRADED
2025-11-17 05:56:55,True,0.0,1.0,1.0,0.0,9,0.0,0,0.0,DEGRADED
2025-11-17 05:57:02,True,0.0,1.0,1.0,0.0,9,0.0,0,0.0,DEGRADED
2025-11-17 05:57:08,True,0.0,1.0,1.0,0.0,10,0.0,0,0.0,DEGRADED
2025-11-17 05:57:14,True,0.0,1.0,1.0,0.0,10,0.0,0,0.0,DEGRADED
2025-11-17 05:57:20,True,0.0,1.0,1.0,0.0,10,0.0,0,0.0,DEGRADED
2025-11-17 05:57:27,True,0.0,1.0,1.0,0.0,10,0.0,0,0.0,DEGRADED
2025-11-17 05:57:33,True,0.0,1.0,1.0,0.0,10,0.0,0,0.0,DEGRADED
2025-11-17 05:57:39,True,0.0,1.0,1.0,0.0,10,0.0,0,0.0,DEGRADED
2025-11-17 05:57:45,True,0.0,1.0,1.0,0.0,10,0.0,0,0.0,DEGRADED
2025-11-17 05:57:51,True,0.0,1.0,1.0,0.0,10,0.0,0,0.0,DEGRADED
2025-11-17 05:57:57,True,0.0,1.0,1.0,0.0,10,0.0,0,0.0,DEGRADED
2025-11-17 05:58:03,True,0.0,1.0,1.0,0.0,9,0.0,0,0.0,DEGRADED
2025-11-17 05:58:10,True,0.0,1.0,1.0,0.0,9,0.0,0,0.0,DEGRADED
2025-11-17 05:58:16,True,0.0,1.0,1.0,0.0,9,0.0,0,0.0,DEGRADED
2025-11-17 06:28:21,True,0.0,1.0,1.0,0.0,9,0.0,0,0.0,DEGRADED
2025-11-17 06:28:28,True,0.0,1.0,1.0,0.0,9,0.0,0,0.0,DEGRADED
2025-11-17 06:28:34,True,0.0,1.0,1.0,0.0,9,0.0,0,0.0,DEGRADED
2025-11-17 06:28:40,True,0.0,1.0,1.0,0.0,9,0.0,0,0.0,DEGRADED
2025-11-17 06:28:46,True,0.0,1.0,1.0,0.0,9,0.0,0,0.0,DEGRADED
2025-11-17 06:28:52,True,0.0,1.0,1.0,0.0,9,0.0,0,0.0,DEGRADED
2025-11-17 06:28:58,True,0.0,1.0,1.0,0.0,9,0.0,0,0.0,DEGRADED
2025-11-17 06:29:05,True,0.0,1.0,1.0,0.0,9,0.0,0,0.0,DEGRADED
2025-11-17 06:29:11,True,0.0,1.0,1.0,0.0,9,0.0,0,0.0,DEGRADED
2025-11-17 06:29:17,True,0.0,1.0,1.0,0.0,9,0.0,0,0.0,DEGRADED
2025-11-17 06:29:23,True,0.0,1.0,1.0,0.0,9,0.0,0,0.0,DEGRADED
